Sr. No.,Y,X1,X2 ,X3,X4,X5,X6,X7,X8
147,1,1,0,1,1,0,1,0,1
148,1,0,0,0,1,0,1,1,1
149,0,0,1,1,0,0,0,0,0
150,1,0,1,1,0,1,1,1,1
151,1,0,1,0,1,1,1,1,1
152,1,1,1,1,1,1,1,1,1
153,1,0,1,1,1,1,1,1,1
154,1,1,1,1,0,0,1,1,1
155,0,0,0,0,0,0,1,1,1
156,1,0,1,1,1,1,1,1,1
157,0,0,1,0,0,0,1,1,1
158,1,1,1,1,1,1,1,1,1
159,1,1,1,1,1,0,1,1,1
160,0,0,0,1,0,0,1,1,0
